NOM / Fournisseur,DATE,Commentaire,CHARGES € HT,n°,Signataire,Type doc,Réf Gestion,N° Facture,Valideur,
BRUNEAU,26/07/2024,"achat divers : plumeaux, portes balais","30,11 €",,LDE,facture,S1D,,,
Maitre ANSEL,15/08/2024,correspondance juin juillet 24,"600,00 €",,LDE,facture,F17,,,
ENDLESS (bigbag),15/08/2024,big bag juillet 24,"1 618,20 €",,LDE,facture,S1A,,,Facture non splitée
BRUNEAU,06/09/2024,"achat eau, bic, café","114,17 €",,ARU,devis,,,,
Fiducial,06/09/2024,Bouteilles d'eau,"49,47 €",69,MDL,facture,S1D,,,
ORANGE,09/09/2024,Boxe internet,"54,00 €",,MDL,Facture 80%,F14,,,
Paul GRASSI (synthèse),19/09/2024,coupe synhèse piscine carneau,"1 450,00 €",,LDE,facture,E3,,,
Fiducial,11/09/2024,achat divers base vie EPI,"238,14 €",598,MDL,Facture,S1D,,,
AIDF,16/09/2024,prolongation voirie,"250,00 €",FAC 2024 09 0455,MDL,Facture,F3,,,
Fiducial,17/09/2024,Bombone volvic,"64,70 €",137,MDL,Facture,S1D,,,
ENDLESS (bigbag),18/09/2024,big bag juin 24,"3 648,70 €",,LDE,facture,S1A,,,
SOIB,30/09/2024,bâche de protection,"190,00 €",,MDL,Facture,S1A,,,
LEP ,04/10/2024,Echaudage escalier R2/R3,"1 160,00 €",,MDL,Facture 70%,S1G,,,
LEP,04/10/2024,Escalier cour anglaise,"1 690,00 €",,MDL,Facture 70%,S1G,,,
Fiducial,15/10/2024,"achat divers : eau, café, scotch, claviers, mètre","294,41 €",,MDL,Facture ,S1D,,,
Paul GRASSI (synthèse),20/10/2024,RSO piscine,"800,00 €",,MDL,,,,,
Fiducial,29/10/2024,Chaises bureaux,"761,07 €",,MDL,Facture,S1D,,,
SOIB ,06/11/2024,Protections cour ,"1 338,00 €",93964,MDL,Facture,S1A,,,
Studio Jessel,11/11/2024,Film oct 24,"1 625,00 €",,MDL,facture,F14,,,
SOIB ,12/11/2024,"Scotch peintre, chaine, sac gravats","30,80 €",94230,MDL,Facture,S1A,,,
SOIB,20/11/2024,"Protection sol, lampe WC, scotch peintre","235,00 €",94715,MDL,Facture,S1A,,,
Fiducial,20/11/2024,"Désodorisant et brosses wc, piles","102,24 €",1489751,MDL,Facture,S1D,,,
Fiducial,22/11/2024,10 Bonbonnes eau,"64,70 €",1158513,MDL,Facture,S1D,,,
ENDLESS (bigbag),07/05/2024,Big bag mai 24 (7 mai),"157,80 €",008319,ARU,Facture ,S1A,,,
ENDLESS (bigbag),02/05/2024,Big bag mai 24 ( 2 mai),"315,60 €",008320,ARU,Facture ,S1A,,,
ENDLESS (bigbag),17/05/2024,Livraison de sacs big bag ,"99,00 €",008321,ARU,Facture,S1A,,,
ENDLESS (bigbag),02/05/2024,Livraison de sacs big bag ,"99,00 €",008322,ARU,Facture,S1A,,,
ENDLESS (bigbag),03/12/2024,Big bag Octobre (16 et 31 octobre),"473,40 €",012202,ARU,Facture ,S1A,,,
ORANGE 300924_BOX ELYSEE,01/11/2020,Boxe internet,"54,00 €",,,,F14,,,
ORANGE 180624-BOX ELYSEE,01/11/2020,Boxe internet,"48,50 €",,MDL,Facture,F14,,,
ORANGE 170424-BOX ELYSEE,01/11/2020,Boxe internet,"48,00 €",,MDL,Facture,F14,,,
ORANGE 170524-BOX ELYSEE,01/11/2020,Boxe internet,"48,00 €",,MDL,Facture,F14,,,
ORANGE 170724-BOX ELYSEE,01/11/2020,Boxe internet,"53,00 €",,MDL,Facture,F14,,,
ORANGE 200824-BOX ELYSEE,01/11/2020,Boxe internet,"53,00 €",,MDL,Facture,F14,,,
ORANGE 170924-BOX ELYSEE,01/11/2020,Boxe internet,"148,83 €",,MDL,Facture,F14,,,
ORANGE 171024-BOX ELYSEE,01/11/2020,Boxe internet,"53,00 €",,MDL,Facture,F14,,,
MAX PRO NETTOYAGE,09/12/2024,Nettoyage répection Master,"550,00 €",F01972,ARU,Facture,S1H,,,
SOIB,10/12/2024,7 chauffages de chantier,"693,00 €",95669,MDL,Facture ,S1A,,,
KILOUTOU,12/12/2024,location chauffage 12/12 - 12/01 ,"438,00 €",,MDL,Facture,S1A,,,
KILOUTOU,09/01/2025,location chauffage23/12 - 24/01 ,"438,00 €",,MDL,Facture ,S1A,,,
MAX PRO NETTOYAGE ,02/01/2025,Nettoyage réception master & 04 (16 & 17 Fev),"1 100,00 €",F01976,ARU,Facture,S1H,,,
MAX PRO NETTOYAGE,02/01/2025,Nettoyage réception 01/02/03 (le 03.01 & 06.01),"600,00 €",F01988,ARU,Facture,S1H,,,
ENDLESS (bigbag),03/12/2024,Big Bag Novembre ,"651,30 €",012204,ARU,Facture,S1A,,,
SOIB,03/01/2024,"Scotch, bache, surchaussures","334,00 €",96410,MDL,Facture,S1A,,,
MAX PRO NETTOYAGE,02/01/2025,Nettoyage réception 01/02/03 (le 07.01),"450,00 €",F01987,MDL,Facture,S1H,,,
Fiducial,08/01/2025,"Cartouche encre, feuilles, cable HDMI","178,03 €",1567555,MDL,Facture,,,,
LEP,02/12/2024,Loc echaf nov 24,"200,00 €",,MDL,Facture,S1G,,,
LEP,09/01/2025,Départ loc escalier,"412,00 €",,MDL,Facture,S1G,,,
Studio Jessel,07/01/2025,Film Nov Déc 24,"1 625,00 €",202232,ARU,Facture,F14,,,
MAX PRO NETTOYAGE ,16/01/2025,Nettoyage R2/R3 (20 & 21 janv),"900,00 €",F01994,ARU,Facture,S1H,,,
ENDLESS (bigbag),31/12/2024,Big Bag Décembre ,"394,50 €",12416,ARU,Facture,S1A,,,
SOIB,24/01/2025,Sol PVC vestiaires,"570,00 €",97721,MDL,Facture,S1I,,,
ERIGE,27/01/2025,Timelapse piscine SS2,"1 400,00 €",DE2038,MDL,Facture,F14,,,
Fiducial,09/01/2025,"Capsule, bombones","308,00 €",1567555,MDL,Facture,S1I,,,
Fiducial,27/01/2025,"Eau, café, mètre","162,56 €",X,MDL,Facture,S1I,,,
LEP,31/12/2024,Loc echaf cour anglaise dec 24,"124,00 €",,MDL,Facture ,S1G,,,
SOIB,16/10/2024,Barrières  quai livraison,"2 893,89 €",,MDL,Facture ,S1A,,,
ORANGE,27/03/2024,ORANGE 191124,"53,00 €",,MDL,facture,F14,,,
ORANGE,27/03/2024,ORANGE 171224,"53,00 €",,MDL,facture,F14,,,
ORANGE,27/03/2024,ORANGE 300624,"54,00 €",,MDL,facture,F14,,,
ORANGE,27/03/2024,ORANGE 311024,"54,00 €",,MDL,facture,F14,,,
SOIB,13/02/2025,Cheminement chantier,"419,00 €",98154,MDL,Facture,S1A,,,
coursier,23/01/2025,PC MDL,"73,60 €",,,,S1A,,,
KILOUTOU,28/01/2025,location chauffage17/01 au 16/02,"360,73 €",,MDL,Facture ,S1A,,,
KILOUTOU,28/01/2025,location chauffage 24/01 au 24/02,"360,73 €",,MDL,Facture ,S1A,,,
SOIB,26/02/2025,"Ruban LED, protection sol","424,00 €",99360,TCH,Devis,S1A,,,
AIDF,27/02/2025,Demande occupation avenue Gabriel,"1 200,00 €",,MDL,facture,F3,,,
ENDLESS (bigbag),31/01/2025,Big Bag janvier,"330,84 €",,ARU,Facture,S1A,,,
